,type,numNodes,numEdges,sampnodes,sampedges,Samplingrate,ActualDensity,SampledDensity,ActualCommunitysize,SampledCommunitysize,actualmodularity,sampledmodularity,Lcommsize_act1,Lcommsize_samp1,Lcommsize_act2,Lcommsize_samp2,Lcommsize_act3,Lcommsize_samp3,Clustcoeff_act,Clustcoeff_samp,diameter_act,diameter_samp,ks_deg,pval_deg,ks_cc,pval_cc,ks_pg,pval_pg
82,RE,2000,299850,1999,149925,0.5,448.6158273,224.3338008,12,32,0.247529805,0.246231735,502,503,501,503,500,500,0.374924956,0.247015686,4,5,0.250365683,0,0.41711334,0,0.009409455,0.999992543
83,RE,2000,299850,2000,149925,0.5,448.6158273,224.9943503,12,28,0.247529805,0.247749954,502,504,501,500,500,500,0.374924956,0.247987984,4,5,0.2495,0,0.418750501,0,0.0105,0.999895736
84,RE,2000,299850,1998,149925,0.5,448.6158273,224.4943503,12,26,0.247529805,0.246572793,502,504,501,502,500,500,0.374924956,0.247832573,4,5,0.24624024,0,0.4160715,0,0.009062062,0.999997404
85,RE,2000,299850,2000,149925,0.5,448.6158273,224.2439716,12,27,0.247529805,0.248112738,502,505,501,503,500,502,0.374924956,0.246735587,4,4,0.2475,0,0.420757515,0,0.0095,0.999990347
86,RE,2000,299850,1998,149925,0.5,448.6158273,224.8652482,12,26,0.247529805,0.245011434,502,505,501,498,500,498,0.374924956,0.247459176,4,5,0.246727728,0,0.427461847,0,0.008933934,0.999998294
87,RE,2000,299850,2000,149925,0.5,448.6158273,224.470255,12,30,0.247529805,0.245165348,502,503,501,500,500,499,0.374924956,0.246969928,4,5,0.2495,0,0.421593781,0,0.0065,1
88,RE,2000,299850,1998,149925,0.5,448.6158273,224.4105409,12,25,0.247529805,0.24628149,502,506,501,504,500,501,0.374924956,0.247309993,4,4,0.24923023,0,0.420576441,0,0.011744244,0.999123301
89,RE,2000,299850,1999,149925,0.5,448.6158273,225.0403458,12,28,0.247529805,0.247974277,502,503,501,502,500,499,0.374924956,0.247694871,4,4,0.246356678,0,0.425299449,0,0.008661081,0.999999343
90,RE,2000,299850,1998,149925,0.5,448.6158273,224.5344828,12,26,0.247529805,0.247745901,502,503,501,503,500,496,0.374924956,0.247305224,4,4,0.248705706,0,0.423216433,0,0.009031532,0.999997647
91,RE,2000,299850,1999,149925,0.5,448.6158273,225.1271676,12,31,0.247529805,0.246944636,502,503,501,501,500,500,0.374924956,0.24850955,4,5,0.247864432,0,0.423589062,0,0.009873687,0.999974447
92,RE,2000,299850,1999,149925,0.5,448.6158273,225.2998565,12,27,0.247529805,0.246709108,502,510,501,503,500,501,0.374924956,0.24857974,4,4,0.246381691,0,0.414642857,0,0.010277639,0.999934889
93,RE,2000,299850,1999,149925,0.5,448.6158273,224.7272727,12,33,0.247529805,0.247286409,502,502,501,501,500,500,0.374924956,0.248341601,4,4,0.248852926,0,0.426248373,0,0.007833167,0.999999981
94,RE,2000,299850,1999,149925,0.5,448.6158273,224.765043,12,29,0.247529805,0.246875718,502,505,501,500,500,499,0.374924956,0.246735845,4,4,0.249898449,0,0.428807712,0,0.00932091,0.999994231
95,RE,2000,299850,1999,149925,0.5,448.6158273,224.8386167,12,29,0.247529805,0.246043086,502,502,501,499,500,498,0.374924956,0.24818175,4,5,0.246863932,0,0.421524084,0,0.009217609,0.999995765
96,RE,2000,299850,2000,149925,0.5,448.6158273,224.625538,12,32,0.247529805,0.246639252,502,504,501,501,500,500,0.374924956,0.247984122,4,5,0.2515,0,0.417150376,0,0.0085,0.999999642
97,RE,2000,299850,2000,149925,0.5,448.6158273,224.7231638,12,29,0.247529805,0.247920722,502,507,501,502,500,500,0.374924956,0.247625708,4,5,0.2475,0,0.430004016,0,0.01,0.999965231
98,RE,2000,299850,1999,149925,0.5,448.6158273,225.4811594,12,33,0.247529805,0.246408656,502,506,501,502,500,498,0.374924956,0.24780997,4,4,0.246865183,0,0.422548872,0,0.010310655,0.999930064
99,RE,2000,299850,1998,149925,0.5,448.6158273,224.0517241,12,31,0.247529805,0.245058864,502,500,501,499,500,497,0.374924956,0.247861362,4,5,0.250731732,0,0.426323293,0,0.010364865,0.999921689
100,RE,2000,299850,1999,149925,0.5,448.6158273,225.04209,12,32,0.247529805,0.247339249,502,503,501,500,500,497,0.374924956,0.248114802,4,5,0.247864432,0,0.419089268,0,0.010117059,0.999954485
101,RE,2000,299850,1999,149925,0.5,448.6158273,225.2784091,12,34,0.247529805,0.249247015,502,507,501,503,500,498,0.374924956,0.249077329,4,4,0.250365683,0,0.424800951,0,0.009408454,0.999992565
102,RE,2000,299850,2000,179910,0.6,448.6158273,269.519774,12,20,0.247529805,0.24777171,502,503,501,502,500,501,0.374924956,0.283138794,4,4,0.188,0,0.287387944,0,0.0115,0.999387572
103,RE,2000,299850,1999,179910,0.6,448.6158273,269.3614627,12,20,0.247529805,0.247796476,502,504,501,502,500,499,0.374924956,0.281588315,4,4,0.186366683,0,0.299402256,0,0.010777639,0.999820999
104,RE,2000,299850,2000,179910,0.6,448.6158273,269.5122655,12,20,0.247529805,0.246984884,502,504,501,502,500,501,0.374924956,0.282142263,4,4,0.1855,0,0.297924712,0,0.011,0.999731041
105,RE,2000,299850,2000,179910,0.6,448.6158273,269.2770745,12,20,0.247529805,0.247717798,502,505,501,505,500,502,0.374924956,0.28226039,4,4,0.1845,0,0.292651303,0,0.008,0.999999958
106,RE,2000,299850,1999,179910,0.6,448.6158273,269.6581197,12,23,0.247529805,0.247554302,502,504,501,502,500,501,0.374924956,0.282306512,4,5,0.185370685,0,0.294375502,0,0.010375188,0.999919738
107,RE,2000,299850,2000,179910,0.6,448.6158273,269.8249641,12,22,0.247529805,0.246029556,502,504,501,503,500,502,0.374924956,0.282573951,4,4,0.1845,0,0.295414207,0,0.0115,0.999387572
